id,name,categoryId,syncId,tenant_id,category_name
af572727-657f-4078-b55b-a3d5d1c9e52c,Georgia's Tests,00031b91-0b46-445e-ab45-40fe3b4964c7,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,Vald CSM
de4f2a75-bdd7-47d0-8562-df3322d14701,Godoy Cruz 4ta,5bac6d7d-2999-48e3-90e9-b84f788ed31f,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,Equipos
73093bfc-0200-4ab3-b34b-bc5fdfa62c28,Handball Masculino,5bac6d7d-2999-48e3-90e9-b84f788ed31f,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,Equipos
c0acefc8-b645-49e9-b3c9-4fef924bbf5e,Hooker,abfd3e98-0024-491a-95e9-cd8d91a9d0e8,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,Posicion
5ba07f6c-79f6-41f5-92e0-abbf4c43d961,Hurling,607c24b5-c7b4-4920-a929-a1e68077ce9e,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,HSI Research
35a2a19b-f8ea-4963-92b4-98565cf1e030,Inactivos,0e7bfdff-aabb-4efa-ad13-ecb419e0beef,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,CBMM
79968728-e0c1-42ca-8713-51c4ccec9db9,Inferiores Huracan,5bac6d7d-2999-48e3-90e9-b84f788ed31f,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,Equipos
add85057-e007-48fe-b730-6e594d2846f1,Isquiotibial,1fdd0100-6c2f-48c4-8f92-a685fb5af643,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,Lesion
ce68d40d-2ce8-444d-a727-0e00dc76da4e,Isquiotibiales,0cd2d321-8c80-41fc-bab3-fd98c53bb178,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,CAM
7b5a6228-499f-4290-bf6b-5b224acd6506,Jugadores Lesionados,0cd2d321-8c80-41fc-bab3-fd98c53bb178,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,CAM
32aa8061-27d6-4b0f-9618-67c323450799,Leones,5bac6d7d-2999-48e3-90e9-b84f788ed31f,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,Equipos
7031e0aa-269e-422a-864d-8002b81a865a,Libero,abfd3e98-0024-491a-95e9-cd8d91a9d0e8,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,Posicion
84468a0b-59d6-4f99-a7f8-9c3fa91ac0d7,LMRC,607c24b5-c7b4-4920-a929-a1e68077ce9e,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,HSI Research
ecc64c40-74e9-4c69-93b5-077745639d1b,Loans,85561d51-b08f-4c5e-94d8-f06b110339dd,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,Academy
31edcc44-ec7e-4ed3-adeb-74e1e803228e,M15 2025,0e7bfdff-aabb-4efa-ad13-ecb419e0beef,,f1185650-fb79-44a0-8b4b-b2bf82d28c83,CBMM
