profileId,testId,modifiedDateUtc,testDateUtc,testTypeId,testTypeName,notes,device,leftAvgForce,leftImpulse,leftMaxForce,leftTorque,leftCalibration,leftRepetitions,rightAvgForce,rightImpulse,rightMaxForce,rightTorque,rightCalibration,rightRepetitions,tenant_id
50bb5c72-63cf-4b31-a8ac-0b85bc7a9b8b,f65c280e-fb39-4e87-b495-f4ce77751bd7,2023-02-09 14:35:36.121000+00:00,2023-02-09 14:34:48.021000+00:00,596a6004-553f-4afa-aef0-1474903b462e,Nordic,,NordBord-1756,354.125,3023.925000000001,376.75,147.497625,0.0,2,368.75,3634.1150000000002,369.25,144.561375,0.0,2,f1185650-fb79-44a0-8b4b-b2bf82d28c83
49b85a09-b93f-4c49-aa94-38ead560cfbe,a4b3000a-9cc5-48be-9939-fa938df7f2f0,2023-02-09 14:35:36.281000+00:00,2023-02-09 14:35:15.356000+00:00,596a6004-553f-4afa-aef0-1474903b462e,Nordic,,NordBord-1756,180.5,216.00500000000002,180.5,75.53925,0.0,1,194.75,317.60499999999996,194.75,81.502875,0.0,1,f1185650-fb79-44a0-8b4b-b2bf82d28c83
bd407fda-4ed2-4916-a145-401809e59783,cc1595b9-2c31-4d2b-b58a-750f49483954,2023-02-09 14:36:36.553000+00:00,2023-02-09 14:36:16.246000+00:00,596a6004-553f-4afa-aef0-1474903b462e,Nordic,,NordBord-1756,174.25,576.415,174.25,77.628375,0.0,1,213.25,880.3649999999998,213.25,95.002875,0.0,1,f1185650-fb79-44a0-8b4b-b2bf82d28c83
91dbe456-5d9a-4e37-a0db-48cf11607197,7aed34de-2dc2-4a48-bbea-03a946667079,2023-02-09 14:37:37.011000+00:00,2023-02-09 14:37:12.562000+00:00,596a6004-553f-4afa-aef0-1474903b462e,Nordic,,NordBord-1756,266.125,1195.3150000000005,293.75,117.64687500000001,0.0,2,268.75,1477.4849999999997,269.5,107.93475000000001,0.0,2,f1185650-fb79-44a0-8b4b-b2bf82d28c83
1b3ca559-5263-4964-83fa-4c1849743f96,93e1e26d-f4b1-42e3-b0f2-9c819515a75a,2023-02-09 14:39:39.876000+00:00,2023-02-09 14:39:04.711000+00:00,596a6004-553f-4afa-aef0-1474903b462e,Nordic,,NordBord-1756,296.0,2223.58,296.0,142.524,0.0,1,298.25,3124.654999999999,298.25,143.60737500000002,0.0,1,f1185650-fb79-44a0-8b4b-b2bf82d28c83
f9bd6f0d-8ad6-455c-9463-e9d494dff1f8,a3f6a9c6-5af2-4674-999b-231780b6e79d,2023-02-09 19:41:20.683000+00:00,2023-02-09 19:40:24.491000+00:00,596a6004-553f-4afa-aef0-1474903b462e,Nordic,,NordBord-1756,332.5,3423.3900000000012,373.5,142.86375,0.0,3,319.5833333333333,4182.055,328.75,125.746875,0.0,3,f1185650-fb79-44a0-8b4b-b2bf82d28c83
67fefb48-8bdf-49b6-9192-f43cd3cd5ed5,48d759f9-ebe0-4d4b-81fe-930b835cccbd,2023-02-09 19:43:21.615000+00:00,2023-02-09 19:42:49.790000+00:00,596a6004-553f-4afa-aef0-1474903b462e,Nordic,,NordBord-1756,334.75,960.4349999999997,334.75,155.15662500000002,0.0,1,420.25,1054.705,420.25,194.785875,0.0,1,f1185650-fb79-44a0-8b4b-b2bf82d28c83
f9bd6f0d-8ad6-455c-9463-e9d494dff1f8,e2896180-dc29-4eef-9b3b-157093f7bc4d,2023-02-09 19:47:25.100000+00:00,2023-02-09 19:46:38.241000+00:00,f9755ba4-17cf-4c47-9c3d-a8995905073d,ISO Prone,,NordBord-1756,272.75,2200.294999999999,283.5,108.43875,0.0,2,255.0,1786.4649999999997,265.25,101.458125,0.0,2,f1185650-fb79-44a0-8b4b-b2bf82d28c83
f9bd6f0d-8ad6-455c-9463-e9d494dff1f8,d56d45d3-bb0c-4d96-949a-33c8e97178b4,2023-02-09 19:50:27.561000+00:00,2023-02-09 19:49:30.157000+00:00,1ccf7d5f-307d-4d1f-9fb3-1d8a9878d94a,ISO 30,,NordBord-1756,304.375,2132.44,316.0,120.87,0.0,2,227.0,1397.5199999999995,245.75,93.999375,0.0,2,f1185650-fb79-44a0-8b4b-b2bf82d28c83
f7adf4a2-8462-45e0-8c48-450b545649db,7b0c32a4-039e-4113-b668-ec16c044e2ba,2023-02-10 23:37:13.563000+00:00,2023-02-10 13:14:16.652000+00:00,596a6004-553f-4afa-aef0-1474903b462e,Nordic,,NordBord-1756,294.0,1040.9650000000001,294.0,85.995,0.0,1,290.75,950.3449999999998,290.75,85.04437500000002,0.0,1,f1185650-fb79-44a0-8b4b-b2bf82d28c83
